,ed_arrivals,wait_time_minutes,door_to_doctor_min,ed_los_minutes,admitted_from_ed,left_ama,imaging_ordered,labs_ordered,day_of_week,week_of_year,month,quarter,year,is_weekend,dow_sin,dow_cos,arrivals_lag_1,arrivals_lag_2,arrivals_lag_3,arrivals_lag_7,arrivals_lag_14,arrivals_lag_28,rolling_mean_7,rolling_std_7,rolling_mean_28,rolling_std_28,admission_rate,throughput_pressure,severity_index,avg_wait_time,avg_los,crowding_index,boarding_proxy,Emergent,Less_Urgent,Non-Urgent,Resuscitation,Urgent,Abdominal_pain,Altered_mental_status,Back_pain,Chest_pain,Drug_overdose,Fever,Headache,Hypertensive_urgency,Hypoglycemia,Laceration,Leg_swelling,Nausea_and_vomiting,Palpitations,Seizure,Shortness_of_breath,Stroke_symptoms,Syncope_/_fall,Trauma,Urinary_symptoms,Weakness,MHN_Boston_General,MHN_Cambridge,MHN_Dorchester,MHN_Fenway,MHN_Jamaica_Plain,MHN_Quincy,MHN_Roxbury_Community,MHN_South_Shore,trend_7,trend_28
2020-09-20,6,80.5,81.33333333333333,315.3333333333333,2,0,3,1,6,38,9,3,2020,1,-0.7818314824680299,0.6234898018587334,2.0,0.0,5.0,3.0,2.0,4.0,3.5714285714285716,2.2253945610567487,3.142857142857143,1.6035674514745455,0.3333333333333333,161.83333333333331,19,80.5,315.3333333333333,26.833333333333332,105.1111111111111,1,2,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,1,0,1,1,3.0,5.0
2020-09-21,1,14.0,14.0,341.0,0,0,0,0,0,39,9,3,2020,0,0.0,1.0,6.0,2.0,0.0,3.0,3.0,3.0,3.2857142857142856,2.429971585175825,3.0714285714285716,1.6539195069439543,0.0,28.0,4,14.0,341.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,-2.0,-3.0
2020-09-22,2,52.5,55.0,376.5,2,0,0,1,1,39,9,3,2020,0,0.7818314824680298,0.6234898018587336,1.0,6.0,2.0,6.0,1.0,3.0,2.7142857142857144,2.138089935299396,3.0357142857142856,1.6662697940174707,1.0,107.5,7,52.5,376.5,52.5,376.5,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,-1.0,-1.0
2020-09-23,2,257.0,257.0,356.5,1,0,1,1,2,39,9,3,2020,0,0.9749279121818236,-0.22252093395631434,2.0,1.0,6.0,3.0,3.0,6.0,2.5714285714285716,2.1491969707422403,2.892857142857143,1.5714886953385054,0.5,514.0,6,257.0,356.5,128.5,178.25,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,-4.0,-1.0
2020-09-24,5,62.2,62.2,291.8,2,0,3,2,3,39,9,3,2020,0,0.43388373911755823,-0.900968867902419,2.0,2.0,1.0,5.0,1.0,2.0,2.5714285714285716,2.1491969707422403,3.0,1.6101529717988257,0.4,124.4,14,62.2,291.8,24.880000000000003,116.72000000000001,1,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2,0,0,1,0,2.0,-1.0
2020-09-25,1,38.0,38.0,166.0,0,0,0,1,4,39,9,3,2020,0,-0.433883739117558,-0.9009688679024191,5.0,2.0,2.0,0.0,3.0,5.0,2.7142857142857144,1.9760470401187085,2.857142857142857,1.6035674514745457,0.0,76.0,4,38.0,166.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,-4.0,-1.0
2020-09-26,2,149.5,149.5,394.5,0,0,1,0,5,39,9,3,2020,1,-0.9749279121818236,-0.2225209339563146,1.0,5.0,2.0,2.0,3.0,5.0,2.7142857142857144,1.9760470401187085,2.75,1.554563175514802,0.0,299.0,7,149.5,394.5,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,-3.0
2020-09-28,3,25.333333333333332,27.0,254.66666666666666,1,0,2,1,0,40,9,3,2020,0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.142857142857143,1.5735915849388868,2.7142857142857144,1.6068635853769855,0.3333333333333333,52.33333333333333,11,25.333333333333332,254.66666666666666,8.444444444444443,84.88888888888889,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1,-3.0,-2.0
2020-09-29,5,85.6,85.6,334.6,1,1,2,2,1,40,9,3,2020,0,0.7818314824680298,0.6234898018587336,3.0,0.0,2.0,2.0,6.0,4.0,2.5714285714285716,1.9023794624226846,2.75,1.6471074533748433,0.2,171.2,11,85.6,334.6,17.12,66.92,0,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,2,0,1,0,1,0,4.0,2.0
2020-09-30,2,29.5,32.0,321.5,2,0,1,0,2,40,9,3,2020,0,0.9749279121818236,-0.22252093395631434,5.0,3.0,0.0,2.0,3.0,4.0,2.5714285714285716,1.9023794624226846,2.6785714285714284,1.6342077348473538,1.0,61.5,6,29.5,321.5,29.5,321.5,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,1.0
2020-10-02,6,73.0,74.0,261.1666666666667,2,0,5,2,4,40,10,4,2020,0,-0.433883739117558,-0.9009688679024191,0.0,2.0,5.0,1.0,0.0,1.0,2.5714285714285716,2.299068134204441,2.7142857142857144,1.7817416127494956,0.3333333333333333,147.0,18,73.0,261.1666666666667,24.333333333333332,87.05555555555556,0,2,0,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,2,0,1,1,0,4.0,2.0
2020-10-03,6,90.66666666666667,90.66666666666667,390.5,2,0,0,0,5,40,10,4,2020,1,-0.9749279121818236,-0.2225209339563146,6.0,0.0,2.0,2.0,2.0,3.0,3.142857142857143,2.6095064302514785,2.8214285714285716,1.8866700319673835,0.3333333333333333,181.33333333333334,18,90.66666666666667,390.5,30.22222222222222,130.16666666666666,2,2,0,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,2,0,1,0,0,1.0,2.0
2020-10-04,2,45.0,45.0,296.0,2,0,1,1,6,40,10,4,2020,1,-0.7818314824680299,0.6234898018587334,6.0,6.0,0.0,0.0,6.0,2.0,3.4285714285714284,2.2990681342044414,2.8214285714285716,1.8866700319673835,1.0,90.0,7,45.0,296.0,45.0,296.0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0,0,0,0,1.0,-2.0
2020-10-05,4,42.0,43.5,258.75,1,0,1,1,0,41,10,4,2020,0,0.0,1.0,2.0,6.0,6.0,3.0,1.0,3.0,3.5714285714285716,2.299068134204442,2.857142857142857,1.8995961698386334,0.25,85.5,12,42.0,258.75,10.5,64.6875,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1,0,0,1,0,0,0,2.0,3.0
2020-10-06,4,142.0,142.0,474.25,1,0,0,1,1,41,10,4,2020,0,0.7818314824680298,0.6234898018587336,4.0,2.0,6.0,5.0,2.0,1.0,3.4285714285714284,2.2253945610567487,2.9642857142857144,1.875418824475153,0.25,284.0,13,142.0,474.25,35.5,118.5625,2,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0,1,1.0,1.0
2020-10-07,2,11.5,11.5,312.0,1,0,0,0,2,41,10,4,2020,0,0.9749279121818236,-0.22252093395631434,4.0,4.0,2.0,2.0,2.0,3.0,3.4285714285714284,2.2253945610567487,2.9285714285714284,1.8842145711846483,0.5,23.0,5,11.5,312.0,5.75,156.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,-3.0,0.0
2020-10-08,2,67.5,69.0,308.0,0,0,2,0,3,41,10,4,2020,0,0.43388373911755823,-0.900968867902419,2.0,4.0,4.0,0.0,5.0,1.0,3.7142857142857144,1.7994708216848765,2.9642857142857144,1.8555650603311358,0.0,136.5,6,67.5,308.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0.0,-1.0
2020-10-09,5,62.6,64.2,265.2,0,0,1,2,4,41,10,4,2020,0,-0.433883739117558,-0.9009688679024191,2.0,2.0,4.0,6.0,1.0,3.0,3.5714285714285716,1.618347187425376,3.0357142857142856,1.895064600817038,0.0,126.80000000000001,15,62.6,265.2,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1,0,1,0,1,0,0,-1.0,4.0
2020-10-10,5,49.4,50.2,258.2,1,2,3,4,5,41,10,4,2020,1,-0.9749279121818236,-0.2225209339563146,5.0,2.0,2.0,6.0,2.0,3.0,3.4285714285714284,1.3972762620115458,3.107142857142857,1.9310194144119777,0.2,99.6,14,49.4,258.2,9.88,51.64,2,3,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,0,0,1,0,1,0,-1.0,2.0
2020-10-11,7,82.42857142857143,82.85714285714286,396.85714285714283,0,0,6,0,6,41,10,4,2020,1,-0.7818314824680299,0.6234898018587334,5.0,5.0,2.0,2.0,0.0,3.0,4.142857142857143,1.7728105208558391,3.25,2.0660393313096717,0.0,165.28571428571428,22,82.42857142857143,396.85714285714283,0.0,0.0,2,1,0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0,1,1,1,0,0,1,3,5.0,6.0
2020-10-12,5,71.4,72.4,262.2,1,0,3,2,0,42,10,4,2020,0,0.0,1.0,7.0,5.0,5.0,4.0,3.0,3.0,4.285714285714286,1.7994708216848774,3.3214285714285716,2.091491961337318,0.2,143.8,13,71.4,262.2,14.280000000000001,52.44,0,2,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,0,0,1,0,1.0,2.0
2020-10-13,2,135.0,135.0,423.0,1,1,2,1,1,42,10,4,2020,0,0.7818314824680298,0.6234898018587336,5.0,7.0,5.0,4.0,5.0,6.0,4.0,2.0000000000000018,3.1785714285714284,2.0376742630058415,0.5,270.0,5,135.0,423.0,67.5,211.5,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,-2.0,-1.0
2020-10-16,2,25.5,25.5,167.0,1,0,1,2,4,42,10,4,2020,0,-0.433883739117558,-0.9009688679024191,0.0,0.0,2.0,5.0,6.0,0.0,3.0,2.708012801545321,2.9642857142857144,2.0990675682513547,0.5,51.0,6,25.5,167.0,12.75,83.5,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0.0,-1.0
2020-10-17,2,66.0,66.0,195.0,1,0,2,2,5,42,10,4,2020,1,-0.9749279121818236,-0.2225209339563146,2.0,0.0,0.0,5.0,6.0,2.0,2.5714285714285716,2.5727509827124004,2.9642857142857144,2.0990675682513547,0.5,132.0,7,66.0,195.0,33.0,97.5,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,-1.0
2020-10-18,1,48.0,48.0,159.0,0,0,0,0,6,42,10,4,2020,1,-0.7818314824680299,0.6234898018587334,2.0,2.0,0.0,7.0,2.0,6.0,1.7142857142857142,1.7043362064926932,2.7857142857142856,2.0431845669452318,0.0,96.0,3,48.0,159.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,-4.0,-5.0
2020-10-19,4,48.75,48.75,289.0,1,1,4,1,0,43,10,4,2020,0,0.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,1.5714285714285714,1.3972762620115435,2.892857142857143,2.024649685552132,0.25,97.5,12,48.75,289.0,12.1875,72.25,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,0,0,-1.0,1.0
2020-10-20,4,40.0,40.0,214.5,0,0,2,2,1,43,10,4,2020,0,0.7818314824680298,0.6234898018587336,4.0,1.0,2.0,2.0,4.0,2.0,1.8571428571428572,1.6761634196950517,2.9642857142857144,2.0272612953904976,0.0,80.0,12,40.0,214.5,0.0,0.0,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,-3.0,-1.0
2020-10-21,5,61.0,61.0,250.8,1,0,1,0,2,43,10,4,2020,0,0.9749279121818236,-0.22252093395631434,4.0,4.0,1.0,0.0,2.0,2.0,2.5714285714285716,1.8126539343499326,3.0714285714285716,2.0535167924638977,0.2,122.0,13,61.0,250.8,12.200000000000001,50.160000000000004,2,0,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,3,0,0,0,0.0,3.0
2020-10-22,3,80.33333333333333,80.33333333333333,308.6666666666667,1,0,3,1,3,43,10,4,2020,0,0.43388373911755823,-0.900968867902419,5.0,4.0,4.0,0.0,2.0,5.0,3.0,1.4142135623730971,3.0,2.0184335693983275,0.3333333333333333,160.66666666666666,8,80.33333333333333,308.6666666666667,26.777777777777775,102.88888888888889,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,0,0,0,1.0,-3.0
2020-10-23,2,35.0,35.0,305.0,1,0,1,1,4,43,10,4,2020,0,-0.433883739117558,-0.9009688679024191,3.0,5.0,4.0,2.0,5.0,1.0,3.0,1.4142135623730971,3.0357142857142856,1.9903869502285756,0.5,70.0,7,35.0,305.0,17.5,152.5,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0.0,1.0
2020-10-24,8,32.625,32.625,291.375,1,1,6,3,5,43,10,4,2020,1,-0.9749279121818236,-0.2225209339563146,2.0,3.0,5.0,2.0,5.0,2.0,3.857142857142857,2.267786838055365,3.25,2.1879298519461345,0.125,65.25,21,32.625,291.375,4.078125,36.421875,2,3,1,0,2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,4,1,1,1,0,6.0,6.0
2020-10-25,5,96.6,96.6,349.4,0,0,3,2,6,43,10,4,2020,1,-0.7818314824680299,0.6234898018587334,8.0,2.0,3.0,1.0,7.0,0.0,4.428571428571429,1.9023794624226869,3.4285714285714284,2.115700942049815,0.0,193.2,16,96.6,349.4,0.0,0.0,1,0,0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,1,0,0,1,0,4.0,3.0
2020-10-26,1,86.0,86.0,355.0,0,0,0,0,0,44,10,4,2020,0,0.0,1.0,5.0,8.0,2.0,4.0,5.0,3.0,4.0,2.309401076758505,3.357142857142857,2.1639176700003353,0.0,172.0,4,86.0,355.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,-3.0,-4.0
2020-10-27,3,25.0,25.0,304.6666666666667,2,0,0,1,1,44,10,4,2020,0,0.7818314824680298,0.6234898018587336,1.0,5.0,8.0,4.0,2.0,5.0,3.857142857142857,2.3401261667248807,3.2857142857142856,2.1405631459993373,0.6666666666666666,50.0,11,25.0,304.6666666666667,16.666666666666664,203.11111111111111,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,1,0,0,-1.0,2.0
2020-10-28,4,101.0,101.0,333.25,1,0,3,1,2,44,10,4,2020,0,0.9749279121818236,-0.22252093395631434,3.0,1.0,5.0,5.0,0.0,2.0,3.7142857142857144,2.288688541085319,3.357142857142857,2.129411076892278,0.25,202.0,10,101.0,333.25,25.25,83.3125,0,0,1,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,1,0,0,0,0,-1.0,2.0
2020-10-29,7,45.142857142857146,45.142857142857146,270.85714285714283,1,1,2,3,3,44,10,4,2020,0,0.43388373911755823,-0.900968867902419,4.0,3.0,1.0,3.0,0.0,0.0,4.285714285714286,2.563479777846625,3.607142857142857,2.131584104287417,0.14285714285714285,90.28571428571429,22,45.142857142857146,270.85714285714283,6.448979591836735,38.6938775510204,3,2,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4,0,0,1,1,0,1,4.0,4.0
2020-10-30,5,56.2,56.8,273.6,2,1,3,4,4,44,10,4,2020,0,-0.433883739117558,-0.9009688679024191,7.0,4.0,3.0,2.0,2.0,6.0,4.714285714285714,2.360387377408332,3.5714285714285716,2.0981221132518475,0.4,113.0,11,56.2,273.6,22.480000000000004,109.44000000000001,1,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,0,1,0,1,3.0,0.0
2020-10-31,4,72.5,72.5,318.25,1,0,2,1,5,44,10,4,2020,1,-0.9749279121818236,-0.2225209339563146,5.0,7.0,4.0,8.0,2.0,6.0,4.142857142857143,1.8644544714716114,3.5,2.04577251550244,0.25,145.0,10,72.5,318.25,18.125,79.5625,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0,1,1,0,0,0,-4.0,2.0
2020-11-01,3,56.333333333333336,56.333333333333336,270.3333333333333,0,0,3,2,6,44,11,4,2020,1,-0.7818314824680299,0.6234898018587334,4.0,5.0,7.0,5.0,1.0,2.0,3.857142857142857,1.8644544714716111,3.5357142857142856,2.0272612953904967,0.0,112.66666666666667,8,56.333333333333336,270.3333333333333,0.0,0.0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,1,0,-2.0,-3.0
2020-11-02,3,102.33333333333333,102.33333333333333,360.3333333333333,1,0,0,1,0,45,11,4,2020,0,0.0,1.0,3.0,4.0,5.0,1.0,4.0,4.0,4.142857142857143,1.4638501094228031,3.5,2.0275875100994054,0.3333333333333333,204.66666666666666,8,102.33333333333333,360.3333333333333,34.11111111111111,120.1111111111111,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,1,2.0,-3.0
2020-11-03,2,72.5,72.5,365.0,1,0,1,0,1,45,11,4,2020,0,0.7818314824680298,0.6234898018587336,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.6329931618554547,3.4285714285714284,2.04447895070949,0.5,145.0,7,72.5,365.0,36.25,182.5,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,-1.0,0.0
2020-11-04,2,70.0,70.0,365.5,0,0,1,1,2,45,11,4,2020,0,0.9749279121818236,-0.22252093395631434,2.0,3.0,3.0,4.0,5.0,2.0,3.7142857142857144,1.7994708216848767,3.4285714285714284,2.04447895070949,0.0,140.0,6,70.0,365.5,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,-2.0,-2.0
2020-11-05,5,42.0,43.2,293.0,1,0,3,2,3,45,11,4,2020,0,0.43388373911755823,-0.900968867902419,2.0,2.0,3.0,7.0,3.0,2.0,3.4285714285714284,1.2724180205607059,3.5357142857142856,2.0454492009977736,0.2,85.2,18,42.0,293.0,8.4,58.6,3,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,2,-2.0,1.0
2020-11-06,4,99.25,100.0,375.0,0,0,1,2,4,45,11,4,2020,0,-0.433883739117558,-0.9009688679024191,5.0,2.0,2.0,5.0,2.0,5.0,3.2857142857142856,1.1126972805283757,3.5,2.0275875100994054,0.0,199.25,10,99.25,375.0,0.0,0.0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,1,-1.0,2.0
2020-11-07,5,16.2,17.0,285.2,1,0,1,2,5,45,11,4,2020,1,-0.9749279121818236,-0.2225209339563146,4.0,5.0,2.0,4.0,8.0,5.0,3.4285714285714284,1.2724180205607059,3.5,2.0275875100994054,0.2,33.2,20,16.2,285.2,3.24,57.04,1,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,1,0,1,1,0,0,1.0,3.0
2020-11-08,3,49.666666666666664,49.666666666666664,421.6666666666667,1,0,2,2,6,45,11,4,2020,1,-0.7818314824680299,0.6234898018587334,5.0,4.0,5.0,3.0,5.0,7.0,3.4285714285714284,1.2724180205607059,3.357142857142857,1.9093199432003645,0.3333333333333333,99.33333333333333,8,49.666666666666664,421.6666666666667,16.555555555555554,140.55555555555554,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0.0,-2.0
2020-11-09,3,17.333333333333332,18.666666666666668,257.3333333333333,0,0,1,1,0,46,11,4,2020,0,0.0,1.0,3.0,5.0,4.0,3.0,1.0,5.0,3.4285714285714284,1.2724180205607059,3.2857142857142856,1.8828100129788832,0.0,36.0,9,17.333333333333332,257.3333333333333,0.0,0.0,0,0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0.0,-2.0
2020-11-11,1,28.0,28.0,252.0,1,0,1,0,2,46,11,4,2020,0,0.9749279121818236,-0.22252093395631434,0.0,3.0,3.0,2.0,4.0,0.0,3.0,1.914854215512677,3.25,1.9172704363041548,1.0,56.0,4,28.0,252.0,28.0,252.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,-1.0,-6.0
2020-11-12,2,33.5,33.5,295.5,1,0,1,2,3,46,11,4,2020,0,0.43388373911755823,-0.900968867902419,1.0,0.0,3.0,5.0,7.0,0.0,2.5714285714285716,1.7182493859684496,3.3214285714285716,1.8268282862112644,0.5,67.0,9,33.5,295.5,16.75,147.75,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0.0,-3.0
2020-11-13,1,12.0,12.0,288.0,0,0,1,0,4,46,11,4,2020,0,-0.433883739117558,-0.9009688679024191,2.0,1.0,0.0,4.0,5.0,2.0,2.142857142857143,1.6761634196950512,3.2857142857142856,1.8630350160153912,0.0,24.0,2,12.0,288.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,-4.0,-1.0
